parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 6.0807020389999025E+000, 5.0422129319999840E+000, 4.0611002580000388E+000, 0.0000000000000000E+000, 1.8399593580001010E+000, 8.5641298200010851E-001, 2.4497468001811740E-002, 9.0474860024869486E-003, 1.0500648990003754E+000, 8.7697930499987820E-001
 6.1049183089999417E+000, 5.0621096070001386E+000, 3.9829185810000638E+000, 0.0000000000000000E+000, 1.9148862720000750E+000, 9.4232089500002303E-001, 2.4440289007827687E-002, 9.0711019994103026E-003, 1.1025468599996771E+000, 8.5236917100004916E-001
 6.1961744660001159E+000, 5.2064281740000808E+000, 4.1259679740000763E+000, 0.0000000000000000E+000, 1.9035239120000540E+000, 9.2200122199986367E-001, 2.4648170996385943E-002, 9.1067759967131678E-003, 1.0612471920002235E+000, 8.5190081999996892E-001
 6.1533600810000166E+000, 5.1339309220000473E+000, 4.0924678549999385E+000, 0.0000000000000000E+000, 1.9039448850001008E+000, 9.3919584899987285E-001, 2.4529842996656726E-002, 9.0572730016447167E-003, 1.0868856359997778E+000, 8.4124438200001350E-001
 6.0804395350001528E+000, 5.0044422270000553E+000, 4.0717104279998466E+000, 0.0000000000000000E+000, 1.8411105200000861E+000, 8.6379328599986138E-001, 2.4093068000070161E-002, 8.9491260023066843E-003, 1.0552236210004935E+000, 8.9824066300005256E-001
