parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 1.0117853902000014E+001, 7.4645473380000098E+000, 6.2857750499999980E+000, 0.0000000000000000E+000, 1.7062855259999452E+000, 1.0622032599998477E-001, 4.3539498999564330E-002, 1.0913923900002942E-001, 9.5412701199987282E-001
 9.7762343500000313E+000, 7.3621323780000125E+000, 6.2408768849999987E+000, 0.0000000000000000E+000, 1.6729659329999862E+000, 1.1612278699996637E-001, 4.1071273000312658E-002, 1.1000068500059257E-001, 9.1611882200003691E-001
 9.7714837369999898E+000, 7.3816039490000307E+000, 6.2391403959999749E+000, 0.0000000000000000E+000, 1.6694550890000244E+000, 1.1933419900002207E-001, 4.0341466999855413E-002, 1.0889256400020031E-001, 9.1102542000001563E-001
 9.8141347529999834E+000, 7.4036646480000030E+000, 6.2404586010000003E+000, 0.0000000000000000E+000, 1.6683708849999803E+000, 1.1115988900000673E-001, 4.0076533000359404E-002, 1.0995930600049064E-001, 9.2043937500012163E-001
 9.7966176609999849E+000, 7.3941186750000085E+000, 6.2841770049999752E+000, 0.0000000000000000E+000, 1.6379762110000158E+000, 1.0412895700000746E-001, 4.2094425000570368E-002, 1.0923364500053623E-001, 8.9076508000010790E-001
