parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 4.1947844719999665E+000, 3.6426788829999879E+000, 1.7319448169999703E+000, 0.0000000000000000E+000, 2.1412546890000073E+000, 1.4921743100006779E-001, 1.2136187059996786E+000, 3.0885169699948278E-001, 1.2647445120000214E+000
 4.1816934930000045E+000, 3.6167986099999752E+000, 1.7123034290000163E+000, 0.0000000000000000E+000, 2.1285265670000086E+000, 1.4774398999998084E-001, 1.1643260439999708E+000, 3.0888007699966380E-001, 1.2592078409998777E+000
 4.3157844569999924E+000, 3.7546459100000007E+000, 1.7314845539999908E+000, 0.0000000000000000E+000, 2.2508794839999595E+000, 1.4809392199999394E-001, 1.2814287859999354E+000, 3.0927945899987463E-001, 1.3265929229999855E+000
 4.2595863199999897E+000, 3.6838706819999985E+000, 1.7184581360000095E+000, 0.0000000000000000E+000, 2.1991132939999929E+000, 1.4906926800000520E-001, 1.1971945240005866E+000, 3.0554689800117529E-001, 1.2630920740000207E+000
 4.8156906610000263E+000, 4.2544214469999773E+000, 1.7657538829999950E+000, 0.0000000000000000E+000, 2.7424155400000032E+000, 1.4568359800004060E-001, 1.7375213080005096E+000, 3.0816798899957831E-001, 1.8571397930001368E+000
