parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 1.1958428358000077E+001, 9.7114580770000032E+000, 7.3146065909999720E+000, 0.0000000000000000E+000, 3.6428091239999958E+000, 5.1026213399993026E-001, 3.1938507000660366E-002, 1.1910313998555466E-002, 2.1540670369999617E+000, 1.2263395590000101E+000
 1.1863863959999989E+001, 9.6204857790000062E+000, 7.3133940580000143E+000, 0.0000000000000000E+000, 3.5205158619999963E+000, 4.1970350900005826E-001, 3.2506548000199587E-002, 1.1384152997806041E-002, 2.1693601010001089E+000, 1.2081118339999222E+000
 1.1900035249999974E+001, 9.6740370379999234E+000, 7.3619792520000829E+000, 0.0000000000000000E+000, 3.5660834650000339E+000, 4.6537454199999218E-001, 3.2136145000990268E-002, 1.1694314000962436E-002, 2.1235890199996703E+000, 1.1998233290000115E+000
 1.1922061833000043E+001, 9.7128235859998853E+000, 7.3507720120000357E+000, 0.0000000000000000E+000, 3.6541444029999042E+000, 4.5023746099990092E-001, 3.2488716001154216E-002, 1.1595558998109823E-002, 2.1714452040001078E+000, 1.1783679119999420E+000
 1.1925410714999984E+001, 9.6909779519999688E+000, 7.3134777700000058E+000, 0.0000000000000000E+000, 3.6208668370000652E+000, 5.0502719799997919E-001, 3.1961056996195225E-002, 1.1456136999441924E-002, 2.1344339959995580E+000, 1.2442312300000395E+000
