parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 7.6756421600000380E-001, 6.3902172399998847E-001, 5.1961347400001756E-001, 1.1251452099999426E-001, 1.8441287699999975E-001, 1.6476986999940380E-002, 3.1376519997081687E-003, 1.3739480004986149E-003, 1.2517916400004481E-001, 8.1502727999989588E-002
 7.6086898700000205E-001, 6.3154675399998439E-001, 5.1001105399999602E-001, 9.4133550999977444E-002, 1.8677120299999217E-001, 1.6710907000017983E-002, 2.9978129999292946E-003, 1.3856720001186318E-003, 1.2680700999997185E-001, 8.2552098000014951E-002
 7.8183063800000241E-001, 6.5204150000001704E-001, 5.3166560899998672E-001, 1.0298323599998582E-001, 1.8745560900000413E-001, 1.6704537000023834E-002, 3.0597550002511298E-003, 1.4091670001903367E-003, 1.2944369399997413E-001, 8.8291771000001518E-002
 7.0972394700000052E-001, 5.8122360999996658E-001, 4.7156441899999635E-001, 6.6081046000007859E-002, 1.7704050900001533E-001, 1.7373017999986473E-002, 3.0211959998780458E-003, 1.3864089999131579E-003, 1.1939479900006233E-001, 8.0434635000017352E-002
 7.1520367800002305E-001, 5.8614140700000661E-001, 4.6729392700000716E-001, 4.9748532000002399E-002, 1.8070457600001077E-001, 1.6690387999965139E-002, 3.0689429997465822E-003, 1.3809310002343977E-003, 1.2189469600004088E-001, 8.0995232999995892E-002
