parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 6.9210699980000143E+000, 5.6761186050000063E+000, 3.2180877479999594E+000, 3.2513178999998615E-002, 2.8138263869999989E+000, 1.6467047499997989E-001, 1.4336154910000829E+000, 3.8650907299899728E-001, 1.6481921860000881E+000
 6.8514083510000177E+000, 5.6437600159999874E+000, 3.4101316649999944E+000, 3.4155809000019133E-002, 2.7268013980000134E+000, 1.6621825399994350E-001, 1.2991713430000686E+000, 3.8559543700078791E-001, 1.5485553129999303E+000
 6.8567146250000093E+000, 5.6206791189999805E+000, 3.1670374220000355E+000, 3.2976171000001386E-002, 2.7856200439999910E+000, 1.6763210099999526E-001, 1.3814663570003063E+000, 3.8563398100021118E-001, 1.4132410330000056E+000
 6.8410698689999663E+000, 5.6300238920000112E+000, 3.1617103050000281E+000, 3.2885129999989715E-002, 2.7523518350000202E+000, 1.6338266699997916E-001, 1.4373647620002430E+000, 3.8437461900059589E-001, 1.3511134889999994E+000
 6.8506302689999856E+000, 5.6257268900000170E+000, 3.2371521079999610E+000, 3.8521546999987777E-002, 2.7363802780000128E+000, 1.6640366800001516E-001, 1.3305814439999608E+000, 3.8483564799985004E-001, 1.5740319030001331E+000
