parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
100,100,100,1,100,500,308820,144079,1700
100,100,100,1,100,500,308820,144136,1700
100,100,100,1,100,500,308820,144071,1700
100,100,100,1,100,500,308820,144033,1700
100,100,100,1,100,500,308820,144002,1700
