parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 7.1797873099999663E+000, 6.1412640200000226E+000, 4.4332649939999840E+000, 0.0000000000000000E+000, 2.4651921189999371E+000, 2.8165026199991416E-001, 1.2787743199820056E-001, 5.1387649800051349E-001, 1.7177355660004991E+000
 7.2010995210000317E+000, 6.1594351740000377E+000, 4.4476873079999848E+000, 0.0000000000000000E+000, 2.5138324890000092E+000, 2.6521393800001647E-001, 1.1526238699727287E-001, 4.9546501000298804E-001, 1.8377404009999623E+000
 7.2147274269999571E+000, 6.0345662640000057E+000, 4.3660471890000281E+000, 0.0000000000000000E+000, 2.4153185330000042E+000, 2.6640306499976418E-001, 1.1338071000312766E-001, 4.9681596800218131E-001, 1.7320550759998525E+000
 7.0867469449999589E+000, 6.0485162090000699E+000, 4.3644141179999849E+000, 0.0000000000000000E+000, 2.4397470300000066E+000, 2.6642397600014078E-001, 1.1422191799360348E-001, 4.9581318500136717E-001, 1.7210267370006136E+000
 7.1622646040000291E+000, 6.1258190640000691E+000, 4.4740245740000830E+000, 0.0000000000000000E+000, 2.4305934089999823E+000, 2.6982477799987237E-001, 1.1491282400172054E-001, 4.9514725100326018E-001, 1.7545291989995633E+000
