parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 4.7751324840000038E+000, 3.5302030049999900E+000, 2.9747839649999719E+000, 6.0939418000010903E-002, 8.9900401200002733E-001, 2.9251565000009805E-002, 1.4361660001135590E-002, 5.3185750003592602E-003, 2.9510051299995155E-001, 4.5744733999997322E-001
 4.7738378630000540E+000, 3.5249166719999963E+000, 2.9522114699999875E+000, 4.4633939999975780E-002, 9.0868142599997981E-001, 6.5327293999985159E-002, 1.4285961999625840E-002, 5.2642199986792093E-003, 3.1206352599993181E-001, 4.1367592900002848E-001
 4.7515402540000125E+000, 3.5206024240000033E+000, 2.9907776160000168E+000, 5.5805619999979683E-002, 8.6730054799999579E-001, 2.9790188999939460E-002, 1.4342191000643822E-002, 5.3419089997248648E-003, 2.6297793400006242E-001, 4.1077005000001066E-001
 4.7587167390000005E+000, 3.5072277390000153E+000, 2.9130664879999841E+000, 4.0298105999994505E-002, 9.2848947799998882E-001, 3.6501684999976192E-002, 1.4227935999741703E-002, 5.2793730000360028E-003, 3.2129497199996848E-001, 4.1670171199995565E-001
 4.7278550820000333E+000, 3.5157272829999613E+000, 2.9316544180000079E+000, 4.0962285000020415E-002, 9.2594071200001338E-001, 3.0133751999983360E-002, 1.4331856999802994E-002, 5.3322230005221627E-003, 3.2851567699979967E-001, 4.4077187299997433E-001
