parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 2.7763076362999982E+001, 2.3588047617000058E+001, 1.6323656988000010E+001, 1.2290930389999062E+000, 9.2178528160000610E+000, 5.3901202200015064E-001, 3.0783148249887802E+000, 1.1952734809934498E+000, 4.9801411690006603E+000
 2.7572378195999988E+001, 2.3338043225999940E+001, 1.6138271123999829E+001, 1.1640015790001144E+000, 8.7877541410000788E+000, 5.9506829899979152E-001, 2.8066843510009676E+000, 1.2000313909990439E+000, 4.4718646319997788E+000
 2.8211055463999969E+001, 2.3733486773999999E+001, 1.6160108305000051E+001, 1.1993342679999728E+000, 9.3685278240000400E+000, 6.1272264299995527E-001, 2.9172738220028407E+000, 1.1944411869990006E+000, 5.0069087110001362E+000
 2.7598401009999918E+001, 2.3372875688000079E+001, 1.6295797574000005E+001, 1.2768748059999950E+000, 8.8931482210000752E+000, 6.7128876900002865E-001, 2.6592720770023845E+000, 1.1943269330011503E+000, 4.5314178310001125E+000
 2.7930829955999855E+001, 2.3656973816000033E+001, 1.6564567870999980E+001, 1.0926886189999721E+000, 9.0507156500000860E+000, 5.6933698999992544E-001, 3.0127804220025496E+000, 1.1882452609994232E+000, 4.9399985390000722E+000
