parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 2.4041905420000020E+000, 1.8035707319999936E+000, 1.4770052189999809E+000, 1.5391912999998425E-002, 3.5558241499999710E-001, 1.6545140000012282E-002, 5.3974654000146671E-002, 2.5553166999923604E-002, 1.6588538899998895E-001
 2.3758319539999988E+000, 1.7891614700000034E+000, 1.4672799499999982E+000, 1.5355489999997474E-002, 3.4523523499998632E-001, 1.8434065000004551E-002, 5.4092350000008338E-002, 2.5275885999935355E-002, 1.5836580199995254E-001
 2.4305696889999950E+000, 1.8281528929999986E+000, 1.4960548939999860E+000, 1.5652409999979966E-002, 3.5435250300000121E-001, 1.7522276999962116E-002, 5.5240135000055091E-002, 2.5181381999939134E-002, 1.6396395799995389E-001
 2.3926356330000083E+000, 1.7998759939999971E+000, 1.4765029279999986E+000, 1.5518653000011540E-002, 3.5137145599998476E-001, 1.7878085999999627E-002, 5.5127681999866951E-002, 2.6787476000155408E-002, 1.6335982799996529E-001
 2.3824559250000057E+000, 1.7905062990000076E+000, 1.4684648130000006E+000, 1.5451216000009538E-002, 3.4494706499998884E-001, 1.8287527000040882E-002, 5.5015212999759200E-002, 2.5951045000013551E-002, 1.5789996599998091E-001
