parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 4.9558608937998997E+001, 4.4178368048001403E+001, 2.3135470368000142E+001, 0.0000000000000000E+000, 3.8873847322000529E+001, 8.4359140269955333E+000, 1.5946680729064155E+000, 6.1725373309445786E-001, 2.3743998523997334E+001, 1.7937373008998748E+001
 5.0186992792003821E+001, 4.4824865904001854E+001, 2.3752113489001658E+001, 0.0000000000000000E+000, 3.8859346675998040E+001, 8.3967417489989202E+000, 1.5913818538638225E+000, 6.1569806181023523E-001, 2.3819288678004341E+001, 1.7870965860999604E+001
 5.0829415337997489E+001, 4.5430074407997836E+001, 2.3282699033997233E+001, 0.0000000000000000E+000, 3.9945054325000001E+001, 9.5913905179918402E+000, 1.6082915977322045E+000, 6.2336743902142189E-001, 2.4180709203988499E+001, 1.7858308722999936E+001
 5.0606667003000439E+001, 4.5231267534999461E+001, 2.3073463604001063E+001, 0.0000000000000000E+000, 3.9895225840003150E+001, 9.4624661090074369E+000, 1.6000137238365824E+000, 6.1980492165048418E-001, 2.3844844736973755E+001, 1.7820159841998702E+001
 4.8888537594999775E+001, 4.3496794425999781E+001, 2.2386800241000003E+001, 0.0000000000000000E+000, 3.8871392782000157E+001, 8.5325893800001040E+000, 1.6066894741102260E+000, 6.2102198702206124E-001, 2.3773745739001868E+001, 1.7821122705999755E+001
