parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 9.1090621794001663E+001, 9.0453180122998447E+001, 7.0036346369984130E+000, 0.0000000000000000E+000, 8.7913154367998686E+001, 1.8583682185002999E+001, 3.6086603615991635E+001, 1.2280253186059554E+001, 6.9349523774997806E+001
 9.1068744614998195E+001, 9.0438284956999496E+001, 7.0209258809995845E+000, 0.0000000000000000E+000, 8.7882172309999760E+001, 1.8575854821999883E+001, 3.5978796212223187E+001, 1.2259393827851682E+001, 6.9320852941004887E+001
 9.1024026411998875E+001, 9.0390847903001031E+001, 7.0129561840021779E+000, 0.0000000000000000E+000, 8.7846944936996351E+001, 1.8566055015994607E+001, 3.6168150410984254E+001, 1.2304115515747526E+001, 6.9295738443986465E+001
 8.9011542506999831E+001, 8.8374146050001400E+001, 7.0323909309963710E+000, 0.0000000000000000E+000, 8.5860099839997929E+001, 1.7924056406004183E+001, 3.2946924972270608E+001, 1.1010890178011778E+001, 6.7945275534999382E+001
 9.1017241952999484E+001, 9.0385214627003279E+001, 7.0115315459993326E+000, 0.0000000000000000E+000, 8.7843018992002726E+001, 1.8556825159001619E+001, 3.6052260057267631E+001, 1.2263676010810286E+001, 6.9299890337987108E+001
