parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 2.7958814311001561E+001, 2.5214025662999347E+001, 1.3212605100000928E+001, 2.6975791399922855E-001, 2.0280148235000979E+001, 5.6286518470060400E+000, 9.2421081432712526E-001, 3.5255208007106376E-001, 1.0625380658002086E+001, 7.8470618970006853E+000
 2.7932194008000351E+001, 2.5173708734999536E+001, 1.3185619435000262E+001, 2.7101094999875386E-001, 2.0242823617000113E+001, 5.6339071720055927E+000, 9.2720011803453417E-001, 3.5367449326327005E-001, 1.0591984127002661E+001, 7.8466974970010597E+000
 2.8412854317998608E+001, 2.5675366100999327E+001, 1.3656771251002738E+001, 2.6922576299921275E-001, 2.0292847910001456E+001, 5.5360363439895082E+000, 9.2408672549390758E-001, 3.5704564294746888E-001, 1.0702460038989557E+001, 7.8395846599969445E+000
 2.8166350900995440E+001, 2.5411228438999387E+001, 1.3435911713999758E+001, 2.7046358300276552E-001, 2.0263813432996812E+001, 5.6973551190030776E+000, 9.2080128153111218E-001, 3.5435791910640546E-001, 1.0539113774993439E+001, 7.8562306749995514E+000
 2.8221193108001444E+001, 2.5477444622000803E+001, 1.3444755933001034E+001, 2.6952127400090831E-001, 2.0321340911002153E+001, 5.6880332990035640E+000, 9.2111771190320724E-001, 3.5295822647003661E-001, 1.0555537945005199E+001, 7.8369812540004204E+000
