parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 2.1648883966000085E+001, 2.1296688092001204E+001, 2.9126468250019570E+000, 8.7030220001906855E-002, 1.9388655505998713E+001, 4.4803725360004591E+000, 9.9844930410370125E+000, 3.8734819699147920E+000, 1.4431626520998407E+001
 2.1616824477999671E+001, 2.1261884161999660E+001, 2.9170839519990750E+000, 8.7401004000184912E-002, 1.9351372522999327E+001, 4.4821642110000539E+000, 9.9691742008330948E+000, 3.8669161979462388E+000, 1.4391585084005555E+001
 2.1606224431000101E+001, 2.1254873680998116E+001, 2.9211594259982121E+000, 8.7471016999643325E-002, 1.9340314756998623E+001, 4.4791206490021978E+000, 9.9715683679492031E+000, 3.8704850500996599E+000, 1.4385860890994991E+001
 2.1646304848000000E+001, 2.1283837190000213E+001, 2.9552752859995053E+000, 8.7777566999875489E-002, 1.9332318437000595E+001, 4.4758194599980925E+000, 9.9663110939463877E+000, 3.8704491839532693E+000, 1.4378209005007875E+001
 2.1684092418998944E+001, 2.1329942390999577E+001, 3.0135827729991433E+000, 8.8100396000754699E-002, 1.9319718491000913E+001, 4.4708740290022888E+000, 9.9579384540356841E+000, 3.8612485499040758E+000, 1.4374268759992447E+001
