parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 3.2894673399996464E+000, 3.1523755260004691E+000, 9.2233939200013992E-001, 4.0774384000314967E-002, 2.3845215539988658E+000, 5.1878671699682855E-001, 1.0384474689883518E+000, 4.4509697899434286E-001, 1.6264335220030262E+000
 3.2775545219994910E+000, 3.1397942260002765E+000, 9.1017135799984317E-001, 4.1499826000062967E-002, 2.3756890810007008E+000, 5.1626241299800313E-001, 1.0395132739997734E+000, 4.4459803898894279E-001, 1.6170933229961975E+000
 3.2897325209992232E+000, 3.1511902099982763E+000, 9.1150856400054181E-001, 4.1153563000989379E-002, 2.3853637939980672E+000, 5.1796266399901469E-001, 1.0367515589641698E+000, 4.4459101101915621E-001, 1.6277845229985815E+000
 3.3625318470019465E+000, 3.2241794650003612E+000, 9.9568176300022060E-001, 4.0241713000796153E-002, 2.3768377179999334E+000, 5.1704097399874627E-001, 1.0412685780022457E+000, 4.4620845202143755E-001, 1.6197871559968462E+000
 3.2749765500007015E+000, 3.1387762009999278E+000, 9.1010553499700109E-001, 3.9591533998191153E-002, 2.3750932909999847E+000, 5.1663277499415017E-001, 1.0390281430150026E+000, 4.4840163100639074E-001, 1.6167793429901849E+000
