parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 1.8657234049999715E+001, 1.7477284439999039E+001, 7.8491994550004165E+000, 2.5986799199881716E-001, 1.4537415896999164E+001, 6.7319473040033699E+000, 8.0237737330958225E-001, 3.0928311098205086E-001, 7.6957790780038522E+000, 3.8414030020003338E+000
 1.8538274608000620E+001, 1.7352377880001086E+001, 7.7542840159994739E+000, 2.7194891199883386E-001, 1.4506204567000850E+001, 6.6900336490016343E+000, 8.0347100295307428E-001, 3.0981156589382408E-001, 7.6920601200074543E+000, 3.8391661090013258E+000
 1.8477003643998614E+001, 1.7291473632002180E+001, 7.6310390920016289E+000, 2.7018341399889323E-001, 1.4558296938998410E+001, 6.7741124830067747E+000, 8.0744579204611000E-001, 3.0915211819092292E-001, 7.7144616149748799E+000, 3.8470386580002014E+000
 1.8932683306002218E+001, 1.7754202299998269E+001, 7.9483799349995934E+000, 2.6307217000248784E-001, 1.4719113935999303E+001, 6.8874393260057332E+000, 7.9902339106047293E-001, 3.0663515893957083E-001, 7.7105873959958444E+000, 3.8484721949962477E+000
 1.8632441361997280E+001, 1.7441314645000148E+001, 7.8128541749997567E+000, 2.6827240100192284E-001, 1.4546887089999018E+001, 6.7431432730008964E+000, 8.0445722519425544E-001, 3.0990752703428370E-001, 7.7047666480002590E+000, 3.8381724309988385E+000
