parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 2.7791532648000157E+001, 2.6372996335999574E+001, 1.1300860505999935E+001, 3.2958212799985631E-001, 2.2893380612000215E+001, 1.1889884248000499E+001, 1.5049139620061851E+000, 5.8282770997595890E-001, 1.0895109790999754E+001, 5.9633347840002671E+000
 2.7876648422999551E+001, 2.6456579078000459E+001, 1.1312354166999285E+001, 3.5077101299930291E-001, 2.2971431439000526E+001, 1.1954257698998845E+001, 1.5385552151162756E+000, 5.9518318798018299E-001, 1.0942449564000299E+001, 5.9669834220007942E+000
 2.7886320122000370E+001, 2.6471421184000747E+001, 1.1314117880998310E+001, 3.3386920399925657E-001, 2.2974467622001384E+001, 1.1956090844999153E+001, 1.4992774509862556E+000, 5.7941049913665665E-001, 1.0982331972010115E+001, 5.9695409759999620E+000
 2.7816441815002236E+001, 2.6397215814000901E+001, 1.1317833264000001E+001, 3.3104171299919471E-001, 2.2910936727000262E+001, 1.1880977657996027E+001, 1.5068612289114753E+000, 5.8435934594217542E-001, 1.0914296246993672E+001, 5.9777720419992875E+000
 2.7820932195002115E+001, 2.6399607526000182E+001, 1.1307927157001814E+001, 3.3267520800200145E-001, 2.2911925209999481E+001, 1.1883419935997608E+001, 1.5346838852856308E+000, 5.9330630997874323E-001, 1.0911445952997838E+001, 5.9689101510007276E+000
