parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 1.5465807618899817E+002, 1.4890572536400487E+002, 3.2213041655000779E+001, 4.1343516300003103E-001, 1.2990578165299894E+002, 2.5395161036990885E+001, 6.4325560577912256E+001, 2.2494229803788585E+001, 9.8031488783995883E+001
 1.5475342766499978E+002, 1.4898808483099958E+002, 3.2568773481999699E+001, 4.1161390999991454E-001, 1.2968050184199979E+002, 2.5391249830000447E+001, 6.4351085890963475E+001, 2.2158559889980552E+001, 9.7837097690000860E+001
 1.5481512072199848E+002, 1.4905706836599893E+002, 3.2386179624000079E+001, 3.7856169399947248E-001, 1.2990670336699873E+002, 2.5403488045997619E+001, 6.4547458014929589E+001, 2.2506766691045641E+001, 9.7983561957998745E+001
 1.5476289091199942E+002, 1.4900637650800036E+002, 3.2323010028001136E+001, 4.1591421000066475E-001, 1.2986953232300061E+002, 2.5429281150999032E+001, 6.4342970940078885E+001, 2.2502025259897209E+001, 9.7981809196994163E+001
 1.5468650244300170E+002, 1.4893077488399695E+002, 3.2270068527000149E+001, 4.1237906300148097E-001, 1.2989477657599718E+002, 2.5427713999990829E+001, 6.4539157496179996E+001, 2.2587100840426046E+001, 9.7966424002001531E+001
