parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
100,100,100,1,100,1050,651030,258908,3350
100,100,100,1,100,1050,651030,258908,3350
100,100,100,1,100,1050,651030,258911,3350
100,100,100,1,100,1050,651030,258910,3350
100,100,100,1,100,1050,651030,258902,3350
