parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 3.1975738829999045E+000, 2.5203720980000526E+000, 1.8698018780000893E+000, 0.0000000000000000E+000, 6.7931351400056883E-001, 6.2100736998218053E-002, 1.6506940011140614E-002, 4.5856403998868700E-002, 2.1935985600043750E-001
 3.1865534499995647E+000, 2.5104275359999519E+000, 1.9001669230005973E+000, 0.0000000000000000E+000, 6.4175669399969593E-001, 5.0020110001696594E-002, 1.5507780019106576E-002, 4.5823957027323559E-002, 1.9408316300109618E-001
 3.1854945060003956E+000, 2.5120295959998202E+000, 1.8758385270000417E+000, 0.0000000000000000E+000, 6.6488692400002947E-001, 5.6707749000224794E-002, 1.7458124029190003E-002, 4.5958595018873893E-002, 2.1326794700189566E-001
 3.1813838160003343E+000, 2.5087790889997450E+000, 1.8953633089997766E+000, 0.0000000000000000E+000, 6.4188966000028813E-001, 5.0978667999743266E-002, 1.5595643958022265E-002, 4.5887632005133128E-002, 1.9075367999926129E-001
 3.2018443290000960E+000, 2.5294678610002848E+000, 1.8989531879999504E+000, 0.0000000000000000E+000, 6.7005189899987272E-001, 6.5021142000887266E-002, 1.5354392970721165E-002, 4.5869427994375656E-002, 2.1136357999853317E-001
 3.1693208540000342E+000, 2.4996270170004209E+000, 1.8998317590003353E+000, 0.0000000000000000E+000, 6.4303657599998587E-001, 4.6225357000366785E-002, 1.6091870015770837E-002, 4.6224321974932536E-002, 1.9522774799929721E-001
 3.1696558159999313E+000, 2.4954823539999325E+000, 1.8779314079999949E+000, 0.0000000000000000E+000, 6.6782304800017300E-001, 5.9827129000495916E-002, 1.5258253979709480E-002, 4.5722960015382341E-002, 2.0537918899799479E-001
 3.1820388489995821E+000, 2.5056174190001457E+000, 1.9071546949999174E+000, 0.0000000000000000E+000, 6.3856207599974368E-001, 4.2839846000561010E-002, 1.5403715972524878E-002, 4.5691530992826301E-002, 1.9252259799964122E-001
 3.1896774479998840E+000, 2.5162198129999069E+000, 1.8982023170001412E+000, 0.0000000000000000E+000, 6.5196407600001294E-001, 4.9262805000125809E-002, 1.5642199016156155E-002, 4.5727439991424035E-002, 2.0615183700124362E-001
 3.1513299170001119E+000, 2.4747908739996092E+000, 1.8863093890001892E+000, 0.0000000000000000E+000, 6.2655707099975189E-001, 4.0650071999607462E-002, 1.5520946970582372E-002, 4.5725299021114552E-002, 1.8526442900110851E-001
