parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 2.3388649992000865E+001, 2.1407791704999909E+001, 9.3214672649996828E+000, 0.0000000000000000E+000, 1.2196986789998846E+001, 5.6821179919993483E+000, 4.4672026306670887E-001, 4.6370769580635169E+000, 5.1466160029990533E+000
 2.4744723270000122E+001, 2.2781742781000048E+001, 9.1578848600011042E+000, 0.0000000000000000E+000, 1.3685185712000020E+001, 6.5335408619994269E+000, 4.1082243099435800E-001, 4.7652662349664752E+000, 5.6027707260036550E+000
 2.2322253444000580E+001, 2.0389347699000609E+001, 9.1947912630012070E+000, 0.0000000000000000E+000, 1.1239867297999353E+001, 6.1725784030008981E+000, 3.8965251399849876E-001, 4.6703294249941791E+000, 3.5156081999944035E+000
 2.3558758897000018E+001, 2.1537939461000050E+001, 9.2641918869999955E+000, 0.0000000000000000E+000, 1.2331911347000002E+001, 6.0838225730000346E+000, 3.8654247300277689E-001, 4.9843688200015777E+000, 4.6663218429999205E+000
 2.2537323310000005E+001, 2.0664348286999967E+001, 9.1159974410000473E+000, 0.0000000000000000E+000, 1.1569478800000041E+001, 5.9960927760000402E+000, 3.9618329899300875E-001, 4.7215202279968480E+000, 4.0107326490000901E+000
 2.3268353130999969E+001, 2.1335687018000158E+001, 9.2200451600000406E+000, 0.0000000000000000E+000, 1.2108175316000086E+001, 5.9073264150000568E+000, 3.4972258701350256E-001, 4.6581316460031985E+000, 4.6405013149996535E+000
 2.2683369715000083E+001, 2.0756880651000017E+001, 9.1125143590001016E+000, 0.0000000000000000E+000, 1.1692811831999961E+001, 5.5503335749998541E+000, 4.0071857000708633E-001, 4.5723480690009524E+000, 4.6231278990002806E+000
 2.2507299017999969E+001, 2.0560407234999900E+001, 9.1608792659998812E+000, 0.0000000000000000E+000, 1.1495394881000095E+001, 5.3377846319999662E+000, 4.2276970600943287E-001, 4.6103304760080164E+000, 4.6056320310003684E+000
 2.2363076864000050E+001, 2.0311647830000084E+001, 9.1738491889998386E+000, 0.0000000000000000E+000, 1.1268739258999858E+001, 5.4608481209999127E+000, 4.4533940104201974E-001, 4.6240905710006928E+000, 4.2648513930002991E+000
 2.4441422442999851E+001, 2.2536772847999941E+001, 9.3057983329998706E+000, 0.0000000000000000E+000, 1.3271436755999957E+001, 6.2148404039996876E+000, 4.2046275602467631E-001, 4.8464967219834989E+000, 5.5364389099994469E+000
