parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
10,10,10,1,10,63,129594,59374,209
10,10,10,1,10,63,129594,59343,209
10,10,10,1,10,63,129594,59380,209
10,10,10,1,10,63,129594,59388,209
10,10,10,1,10,63,129594,59402,209
10,10,10,1,10,63,129594,59370,209
10,10,10,1,10,63,129594,59385,209
10,10,10,1,10,63,129594,59368,209
10,10,10,1,10,63,129594,59350,209
10,10,10,1,10,63,129594,59360,209
