parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 2.0220577217999789E+001, 1.6954945105999514E+001, 1.3710908698999674E+001, 0.0000000000000000E+000, 3.1074442850001560E+000, 1.0283336400061671E-001, 7.9418697057008103E-002, 3.7235389015677356E-002, 6.9634337499883259E-001, 1.4204310400009490E-001
 2.0286140240000350E+001, 1.7011083117999760E+001, 1.3770045854000273E+001, 0.0000000000000000E+000, 3.1655868449997797E+000, 1.0505826900021020E-001, 7.8494897964674237E-002, 3.7117447986247498E-002, 7.6680118900071648E-001, 1.8520806300011827E-001
 2.0297245963999785E+001, 1.7028817467000181E+001, 1.3732427340000186E+001, 0.0000000000000000E+000, 3.1846618939996461E+000, 1.4643876499917496E-001, 7.9310936042702451E-002, 3.7397877960302139E-002, 7.4371215199971630E-001, 1.4770559700036756E-001
 2.0373104298999579E+001, 1.7104299383999887E+001, 1.3900186875999680E+001, 0.0000000000000000E+000, 3.0870056429998840E+000, 1.0426502300038010E-001, 7.8812618970914627E-002, 3.6990856006696049E-002, 6.7452351200108751E-001, 1.5092070100013188E-001
 2.0407095804999699E+001, 1.7135226534000140E+001, 1.3917994472999681E+001, 0.0000000000000000E+000, 3.1134658299997682E+000, 1.1618012500093755E-001, 7.8149995942794703E-002, 3.7048722010240454E-002, 6.7273864299772868E-001, 1.4525815100023465E-001
 2.0212646210000457E+001, 1.6944351564999806E+001, 1.3750876098000163E+001, 0.0000000000000000E+000, 3.0912689509998472E+000, 1.0011062099943047E-001, 7.9138950960441434E-002, 3.7634894003986119E-002, 6.9111266400022942E-001, 1.6395599900033631E-001
 2.0463268416999426E+001, 1.7197879548000401E+001, 1.3975445945000729E+001, 0.0000000000000000E+000, 3.1435263799994573E+000, 9.6809729000597144E-002, 7.8930920961965967E-002, 3.7649093985919535E-002, 7.0946065499992983E-001, 1.7158129199992800E-001
 2.0433706637000341E+001, 1.7165514891999919E+001, 1.3871799977000592E+001, 0.0000000000000000E+000, 3.1842302859995470E+000, 1.5982184499853247E-001, 7.8852731934603071E-002, 3.7281502931818977E-002, 7.6410178199648726E-001, 1.5662323300011849E-001
 2.0246547088999705E+001, 1.6968081899000026E+001, 1.3734565756999018E+001, 0.0000000000000000E+000, 3.1473601339998822E+000, 1.1448309999695994E-001, 7.9157045001920778E-002, 3.7393828000404028E-002, 7.0514141600688163E-001, 1.9275211800004399E-001
 2.0304227422000622E+001, 1.7030268538999735E+001, 1.3722249945999920E+001, 0.0000000000000000E+000, 3.1836472410000169E+000, 1.2899310899683769E-001, 7.9632861024947488E-002, 3.7505910022446187E-002, 8.1857154899762463E-001, 1.6693610999982411E-001
