parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 8.8667425999938132E-001, 7.9238083599989295E-001, 5.0549389799948585E-001, 0.0000000000000000E+000, 6.6599230000019816E-001, 8.6499996000384272E-002, 1.4719098964178556E-002, 3.5401062986466059E-002, 5.8030700400013302E-001
 8.8285733700081437E-001, 7.8742288400053440E-001, 5.0188723799988111E-001, 0.0000000000000000E+000, 6.6461401499987005E-001, 8.6565806000407974E-002, 1.4340452006535997E-002, 3.5380441009010610E-002, 5.7892938300005881E-001
 8.6864265400004115E-001, 7.7431673099999898E-001, 4.9462894400039659E-001, 0.0000000000000000E+000, 6.5790099099990584E-001, 8.6557050000010349E-002, 1.4416548013286956E-002, 3.5387160010259322E-002, 5.7195128999887856E-001
 8.6917965300040123E-001, 7.7498969899988879E-001, 4.9407129000019268E-001, 0.0000000000000000E+000, 6.5944551799952933E-001, 8.6355202000731879E-002, 1.4411149017632852E-002, 3.5368865956115769E-002, 5.7393243700062158E-001
 9.0596497300043666E-001, 8.1191502699971352E-001, 5.1538227799983360E-001, 0.0000000000000000E+000, 6.7506989500043346E-001, 8.8341676999561969E-002, 1.4453792977519697E-002, 3.5491018030825217E-002, 5.8752222900011475E-001
 8.6866644199972143E-001, 7.7535940699954153E-001, 4.9550046400008796E-001, 0.0000000000000000E+000, 6.5798942300057206E-001, 8.6229485000103523E-002, 1.4350303023547895E-002, 3.5387073979791239E-002, 5.7249815499972101E-001
 9.0826468699970064E-001, 8.1488956700036397E-001, 5.2134839700011071E-001, 0.0000000000000000E+000, 6.7323853099992448E-001, 8.6474725998641588E-002, 1.4359431948605561E-002, 3.5429579998435656E-002, 5.8745987399856858E-001
 8.7031131100002312E-001, 7.7753502499990645E-001, 4.9601030500025445E-001, 0.0000000000000000E+000, 6.6022750000024644E-001, 8.7814853000509174E-002, 1.4466917987647321E-002, 3.5405752983251659E-002, 5.7303143900116993E-001
 8.7371057999962431E-001, 7.7982023000004119E-001, 4.9451251799996498E-001, 0.0000000000000000E+000, 6.6378156199994010E-001, 8.6593944000469492E-002, 1.4350709978771192E-002, 3.5456092994536448E-002, 5.7790405399987321E-001
 8.8139175899982547E-001, 7.8814323300002798E-001, 4.9386558399942260E-001, 0.0000000000000000E+000, 6.7238758900020912E-001, 8.7464777001059701E-002, 1.4381370006049110E-002, 3.5405067010287894E-002, 5.8568171200090546E-001
