parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 1.0792863499978012E-001, 1.0044155100013086E-001, 6.3914397999724315E-002, 0.0000000000000000E+000, 7.7092072000141343E-002, 1.5535023999973419E-002, 2.3184670005775843E-003, 6.5880709985322028E-003, 6.2139019999676748E-002
 1.0589728499962803E-001, 9.8880260999294478E-002, 6.2796023999680983E-002, 0.0000000000000000E+000, 7.6071337000030326E-002, 1.5224796000211427E-002, 2.3233979966335028E-003, 6.5597339923897380E-003, 6.1375540999961231E-002
 1.0643868699958148E-001, 9.9311688000170761E-002, 6.2792106000188141E-002, 0.0000000000000000E+000, 7.6394725000000108E-002, 1.5430174001267005E-002, 2.3154199980126577E-003, 6.5926819902415446E-003, 6.1477267998270690E-002
 1.0581384300053287E-001, 9.8981426999898758E-002, 6.2842906999776460E-002, 0.0000000000000000E+000, 7.6000315999181112E-002, 1.5292039000314617E-002, 2.3132889948556112E-003, 6.5850130083617842E-003, 6.1204476001648800E-002
 1.0637084100017091E-001, 9.9469421000094371E-002, 6.3087522000842000E-002, 0.0000000000000000E+000, 7.6161102000241954E-002, 1.5314331999434216E-002, 2.3487459970965574E-003, 6.5887890148133010E-003, 6.1352804001444383E-002
 1.0651177999966421E-001, 9.9495325000361845E-002, 6.3401972000292517E-002, 0.0000000000000000E+000, 7.5882211999669380E-002, 1.5334823001012410E-002, 2.3104680096821539E-003, 6.5930659993682639E-003, 6.1071341001252222E-002
 1.0597793600004479E-001, 9.9024381000162975E-002, 6.2995096999884481E-002, 0.0000000000000000E+000, 7.6071977000310653E-002, 1.5397060001077989E-002, 2.3200359819384175E-003, 6.6014349972647324E-003, 6.1189304999970773E-002
 1.0659382099993309E-001, 9.9443698999721164E-002, 6.3101861999712128E-002, 0.0000000000000000E+000, 7.6132142999767893E-002, 1.5234251000720178E-002, 2.3919300047055003E-003, 6.5862850005942164E-003, 6.1420671000405491E-002
 1.0634391599978699E-001, 9.9547882000479149E-002, 6.3440165000201887E-002, 0.0000000000000000E+000, 7.6051256000710055E-002, 1.5294833998950708E-002, 2.3191459940790082E-003, 6.5372370099794352E-003, 6.1268578002227514E-002
 1.0678057499990246E-001, 9.9673612999822581E-002, 6.3436678999778451E-002, 0.0000000000000000E+000, 7.6214423999545033E-002, 1.5255557000273257E-002, 2.3024880138109438E-003, 6.6209150106715242E-003, 6.1460402000875547E-002
