parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 2.9594454309999882E+000, 2.5171848209999865E+000, 1.7910173379999996E+000, 6.0463528999981975E-002, 1.1240684969999855E+000, 2.3148819300002188E-001, 2.2475459999615310E-002, 8.9911359997252305E-003, 5.9028261299997098E-001, 3.8699750099998909E-001
 2.9872161299999824E+000, 2.5448315360000286E+000, 1.8030152419999865E+000, 4.8680831000016411E-002, 1.1717945039999904E+000, 2.2894728699998623E-001, 2.2874070999893803E-002, 9.0097769998251920E-003, 6.0840336499997960E-001, 4.2575607800000626E-001
 2.9368134039999951E+000, 2.4982986710000077E+000, 1.7795000450000025E+000, 4.9123831000013496E-002, 1.1422412589999986E+000, 2.3187693699998846E-001, 2.2470243000114465E-002, 9.0498629996851321E-003, 5.9933580500000261E-001, 3.8168319700000808E-001
 2.9381592640000065E+000, 2.5028884209999838E+000, 1.7691917190000019E+000, 4.7584010999997872E-002, 1.1349102279999812E+000, 2.2125178399999257E-001, 2.2418487998695724E-002, 9.0267909995986884E-003, 5.8605965700004958E-001, 4.0481805500000689E-001
 2.9519198209999900E+000, 2.5015022030000083E+000, 1.7762368409999816E+000, 4.8144515000025478E-002, 1.1039347740000061E+000, 2.2367122100001779E-001, 2.2482458000428807E-002, 9.3478120002430387E-003, 5.9280012599992560E-001, 3.8448767900000647E-001
