parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 2.7475897453000016E+001, 2.3026853785999961E+001, 1.6425378830000056E+001, 0.0000000000000000E+000, 1.6224690673000040E+001, 1.6548016569998794E+000, 2.2550294099391976E-001, 4.6105889199986905E-001, 1.4573139384999664E+001
 2.7156028633000048E+001, 2.2726714864999991E+001, 1.6220342642999981E+001, 0.0000000000000000E+000, 1.6108688700999977E+001, 1.6470014519999694E+000, 2.1743643899924336E-001, 4.6632589500057975E-001, 1.4464413591999971E+001
 2.7197515361999976E+001, 2.2716988224999952E+001, 1.6212230233999975E+001, 0.0000000000000000E+000, 1.6079094536000042E+001, 1.6418008259998658E+000, 2.3542314501038675E-001, 4.5981971299713109E-001, 1.4440988307999334E+001
 2.7249180157999987E+001, 2.2820980583000022E+001, 1.6325621973999986E+001, 0.0000000000000000E+000, 1.6103103436000026E+001, 1.6489654929999489E+000, 2.2056057300444820E-001, 4.6414236800328013E-001, 1.4457014053999984E+001
 2.7271743279000006E+001, 2.2856685906000024E+001, 1.6307158461999990E+001, 0.0000000000000000E+000, 1.6189876926000011E+001, 1.6601726720000300E+000, 2.2470670199858489E-001, 4.5921592099782060E-001, 1.4533288800999713E+001
