parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 1.0104589384000008E+001, 8.8067261950000102E+000, 6.0741012309999576E+000, 1.7667582200001419E-001, 5.8511534140000094E+000, 1.0648015369999229E+000, 1.4966689499885888E-001, 5.7589114000258235E-002, 3.4424128429998788E+000, 2.5973500600000108E+000
 1.0080227241000024E+001, 8.7703575980000466E+000, 6.0070164219999924E+000, 1.5151110399998657E-001, 5.8908379659999497E+000, 1.0483245220000370E+000, 1.5050914099560231E-001, 5.8238007000490200E-002, 3.5283979799997525E+000, 2.5997680510000052E+000
 1.0028228934000026E+001, 8.7166041089999453E+000, 6.0016352980000249E+000, 1.5216571699994574E-001, 5.8537257789999870E+000, 1.0316721760000434E+000, 1.4988570499853893E-001, 5.7370606001356350E-002, 3.5265494460000326E+000, 2.6038551580000160E+000
 1.0084448548999958E+001, 8.7805929010000128E+000, 6.0066168739999597E+000, 1.4854470900002070E-001, 5.9041027650000402E+000, 1.0252314800000093E+000, 1.5013530900204586E-001, 5.7456888001176765E-002, 3.4755533100000875E+000, 2.6181746249999946E+000
 1.0115842722999972E+001, 8.8113432949999577E+000, 6.0261601349999978E+000, 1.5060486199999445E-001, 5.9137041939999904E+000, 1.0773767920001092E+000, 1.4901741800400714E-001, 5.8481200000841227E-002, 3.4894765749999266E+000, 2.6027507599999780E+000
