parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 1.6461442066000018E+001, 1.6137041785999969E+001, 2.3803430430000105E+000, 1.1702902100006440E-001, 1.5365070041000081E+001, 2.9230225100002372E+000, 4.6926800719915320E+000, 1.9580346519964564E+000, 1.2085093829000158E+001
 1.6740878821000081E+001, 1.6411472405000012E+001, 2.4433766480000543E+000, 1.3138658999994846E-001, 1.5646444399000160E+001, 2.8970996299999854E+000, 4.5132245560029389E+000, 1.9431242379957610E+000, 1.2407675775000541E+001
 1.6671171583000074E+001, 1.6356322778999925E+001, 2.4235541750000493E+000, 1.1463400699997806E-001, 1.5605957079999996E+001, 2.9176484830002494E+000, 4.6444010749877975E+000, 1.9407408159987938E+000, 1.2337879919999722E+001
 1.6310188033000060E+001, 1.5990309893000074E+001, 2.4455921880001767E+000, 1.1474935200007508E-001, 1.5219003538000152E+001, 2.8611738809997576E+000, 4.6790142720040819E+000, 1.9421084209993182E+000, 1.1998041911000712E+001
 1.6615373267000024E+001, 1.6278155244999908E+001, 2.6061318570002356E+000, 1.5976217200005749E-001, 1.5360944681999911E+001, 2.8309961609998879E+000, 4.5486007160010331E+000, 1.9424809049972396E+000, 1.2162974236000537E+001
 1.6366658927999879E+001, 1.6028636022000114E+001, 2.4371727489999557E+000, 1.2073270599995567E-001, 1.5267207769999914E+001, 2.8339019979999307E+000, 4.5690789049959903E+000, 1.9547218309949699E+000, 1.2074350831999880E+001
 1.6405509013999961E+001, 1.6080046433000035E+001, 2.4374279730000126E+000, 1.1994125899994401E-001, 1.5322617480000048E+001, 2.7775141410002675E+000, 4.6472054260058826E+000, 1.9504162590014289E+000, 1.2184746852999865E+001
 1.6557010127000211E+001, 1.6246242865000056E+001, 2.4326117249999584E+000, 1.1764026400004468E-001, 1.5489798617999980E+001, 2.8151487470001371E+000, 4.6441440070037459E+000, 1.9454331220041752E+000, 1.2309019567999712E+001
