parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 2.1931546480011548E+000, 2.1074587239997982E+000, 1.3913672799983487E+000, 2.1019982100096968E-001, 7.3029958100028125E-001, 2.7879333199962275E-001, 1.9600326981617400E-002, 8.0097909656160482E-003, 3.8442521600109103E-001, 8.0712214000413951E-002
 2.2264813299991602E+000, 2.1424137590008741E+000, 1.4311917829991216E+000, 2.0645069500005775E-001, 7.5074603100006243E-001, 2.9511813399813036E-001, 1.9378107984948656E-002, 8.0447769480542775E-003, 4.0549482599135445E-001, 8.6289054000189935E-002
 2.1845817380003609E+000, 2.0995225690003281E+000, 1.3855907349995960E+000, 2.0738345600034336E-001, 7.3265199600041342E-001, 2.7812355299556657E-001, 1.9437639968373333E-002, 8.0756240149639780E-003, 3.8939456300181519E-001, 8.2299519999423865E-002
 2.1732720270001664E+000, 2.0904036260005796E+000, 1.3553302810003061E+000, 2.1232053300013831E-001, 7.3064001600027950E-001, 2.7610351800285571E-001, 1.9617827013462374E-002, 8.0317650013057573E-003, 3.8086589600061416E-001, 8.4271872998215258E-002
 2.1850681399994301E+000, 2.0986562739997225E+000, 1.3633573219979098E+000, 2.0869251599992822E-001, 7.3034979000067324E-001, 2.7539266900157600E-001, 1.9579797032292845E-002, 8.0754440155033080E-003, 3.8401900299641056E-001, 8.4270985998955439E-002
