parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 7.9138138040000285E+000, 7.0393145790001199E+000, 4.0252126830012003E+000, 6.9543413000019427E-002, 3.3743375359997572E+000, 4.1836911299765234E-001, 1.5833808610022970E+000, 7.7765585901261147E-001, 1.6523968140006673E+000
 7.9820569880000676E+000, 7.0590684330006752E+000, 4.0265840330002902E+000, 6.8950843000720852E-002, 3.3349905239997497E+000, 4.4667015200093374E-001, 1.5962347999700341E+000, 7.8298167804973673E-001, 1.6233662040049239E+000
 8.1001118459998906E+000, 7.2119028640006491E+000, 4.1905123630001526E+000, 6.9582483001113360E-002, 3.5221497140003066E+000, 4.3900736699856679E-001, 1.5539673740679518E+000, 7.7857322398222095E-001, 1.8502616840016799E+000
 7.8716464520002773E+000, 6.9721456420004415E+000, 3.9655850140004532E+000, 6.9867184999793608E-002, 3.3435090549999131E+000, 4.3387259300243386E-001, 1.5869501140261946E+000, 7.7780461299471426E-001, 1.6545418820035138E+000
 7.7908514740011015E+000, 6.9149296240011608E+000, 3.9285263509998458E+000, 6.9237479001685642E-002, 3.3524553640011163E+000, 4.3641295799898217E-001, 1.5971496669633325E+000, 7.8304516994808182E-001, 1.6816897299972879E+000
