parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 2.6848282790010671E+000, 2.5336982190012804E+000, 1.6750149980014157E+000, 1.4855146100080674E-001, 8.7412030200061963E-001, 2.9793378599811149E-001, 2.6095840018342642E-002, 1.0846125020179898E-002, 4.5898672399812313E-001, 9.5089454000117257E-002
 2.6899142880013187E+000, 2.5399573939994298E+000, 1.7092715390006106E+000, 1.5229083700046431E-001, 9.0136699299932843E-001, 3.3163858399916535E-001, 2.5682350000352017E-002, 1.0796384987315832E-002, 4.7936946999334396E-001, 1.3049224199971832E-001
 2.6975689600008081E+000, 2.5364416659990638E+000, 1.6999831419998372E+000, 1.5185875900033352E-001, 8.8881836099835709E-001, 3.1146262899642352E-001, 2.6176182985409469E-002, 1.0828940997271275E-002, 4.7603915000013330E-001, 9.9317520999420594E-002
 2.6568653589984024E+000, 2.5056703160005327E+000, 1.6722359249993133E+000, 1.4704625799890891E-001, 8.8149979800004985E-001, 3.0575330599663175E-001, 2.6346761956119735E-002, 1.0874750003040390E-002, 4.6154155099975469E-001, 1.0681682899780753E-001
 2.6483175810001285E+000, 2.4961395459988580E+000, 1.6393318890009141E+000, 1.4898737100065773E-001, 8.7498030000210747E-001, 2.9941814099788644E-001, 2.6250236985106312E-002, 1.0814993014946594E-002, 4.6160741800053984E-001, 8.8142552000135765E-002
