parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 3.3588921040000059E+000, 3.1736752329989031E+000, 1.2620947909986171E+000, 1.1111196999877393E-001, 1.9370637169997735E+000, 3.1069678100129750E-001, 1.0042377450820368E+000, 4.2556565301765659E-001, 1.0181659000011223E+000
 3.3203094039990901E+000, 3.1353914149979119E+000, 1.2340193489990270E+000, 1.0583545300050901E-001, 1.9261185919999662E+000, 3.0864769199888542E-001, 9.9889417001440961E-001, 4.2606745600483009E-001, 1.0064998349987491E+000
 3.3542305409987421E+000, 3.1632245540015447E+000, 1.2575242059986067E+000, 1.0745411900029467E-001, 1.9323067219997938E+000, 3.0923503600229196E-001, 1.0011831679953502E+000, 4.2809112903273672E-001, 1.0144156670039592E+000
 3.3354573870008153E+000, 3.1495609949995469E+000, 1.2466865229985160E+000, 1.0176573400076450E-001, 1.9274752050007464E+000, 3.1027545200231543E-001, 1.0057800510026027E+000, 4.2840426501015827E-001, 1.0100099099940962E+000
 3.3394587180000599E+000, 3.1517123369997080E+000, 1.2482679199999893E+000, 1.0845623799923487E-001, 1.9321519450002143E+000, 3.0984811299845205E-001, 1.0057053839971104E+000, 4.2747893002615456E-001, 1.0162802369998190E+000
