parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 1.1438135099995179E+000, 9.4352720300003057E-001, 8.0843011800027398E-001, 0.0000000000000000E+000, 1.3357120900002428E-001, 1.7654027000617134E-002, 4.7225419860978946E-003, 3.6675880089660495E-003, 4.4810783997832004E-002
 1.1483784720001040E+000, 9.4758580000018355E-001, 8.0527929000049880E-001, 0.0000000000000000E+000, 1.4333636600042610E-001, 2.1348263999925621E-002, 4.7011920116801775E-003, 3.7139559990464477E-003, 5.4403076000426154E-002
 1.1461747680000371E+000, 9.4565647699937472E-001, 8.1004951799968694E-001, 0.0000000000000000E+000, 1.3796520600033091E-001, 1.7682740998111512E-002, 4.6464020067560341E-003, 3.6894379999239391E-003, 5.1070712000523599E-002
 1.1479949420003095E+000, 9.4725570599962339E-001, 8.1500645599930976E-001, 0.0000000000000000E+000, 1.3863624499970228E-001, 1.7968760000371731E-002, 4.6525940110768715E-003, 3.7363889927064520E-003, 5.3324501999441054E-002
 1.1443118439998443E+000, 9.4452361300045595E-001, 8.0703841899992312E-001, 0.0000000000000000E+000, 1.3823777600021003E-001, 1.8140831001232982E-002, 4.6776120057074877E-003, 3.7347110054497534E-003, 4.7322407000251587E-002
