parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
10,10,10,1,10,60,165987,76952,200
10,10,10,1,10,60,165987,76959,200
10,10,10,1,10,60,165987,76949,200
10,10,10,1,10,60,165987,76945,200
10,10,10,1,10,60,165987,76955,200
10,10,10,1,10,60,165987,76951,200
10,10,10,1,10,60,165987,76949,200
10,10,10,1,10,60,165987,76951,200
10,10,10,1,10,60,165987,76947,200
10,10,10,1,10,60,165987,76952,200
