parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 5.3506632549999997E+000, 4.5436837089999997E+000, 3.8622051820000012E+000, 0.0000000000000000E+000, 7.9388105499999906E-001, 2.8211141000001660E-002, 1.4105251999976254E-002, 5.9811060000471983E-003, 2.0777473499999299E-001, 1.7902805999999849E-001
 5.3500055189999998E+000, 4.5429853340000026E+000, 3.8304206049999996E+000, 0.0000000000000000E+000, 7.9571346400000120E-001, 3.3335199999998899E-002, 1.4047970999893522E-002, 5.9764819999923446E-003, 1.7877380700000511E-001, 1.5807974799999958E-001
 5.3163364480000004E+000, 4.5175453779999994E+000, 3.8129267500000017E+000, 0.0000000000000000E+000, 7.9249852799999942E-001, 3.5018403999997005E-002, 1.3934981000118363E-002, 6.0055830000429467E-003, 1.9572979800000123E-001, 1.5963014999999992E-001
 5.3762272179999986E+000, 4.5679654980000013E+000, 3.8804035499999987E+000, 0.0000000000000000E+000, 7.9164028599999892E-001, 3.1633104000000856E-002, 1.4051051999981468E-002, 6.1175400000772484E-003, 1.9457001400000706E-001, 1.6892432699999915E-001
 5.3356706530000020E+000, 4.5391782159999980E+000, 3.8618182410000026E+000, 0.0000000000000000E+000, 7.9781923599999960E-001, 2.8249998000001497E-002, 1.3954135000060042E-002, 6.1781550000210572E-003, 2.0426926500000153E-001, 1.7423141000000086E-001
 5.3401335979999995E+000, 4.5303089680000017E+000, 3.8394289520000005E+000, 0.0000000000000000E+000, 8.0462596499999872E-001, 4.1396995999996911E-002, 1.4024067000029561E-002, 5.9529109999711949E-003, 1.7665530900000004E-001, 1.7238694999999993E-001
 5.3322015709999988E+000, 4.5157959470000026E+000, 3.8322531640000008E+000, 0.0000000000000000E+000, 7.6433265899999814E-001, 2.6365961000000659E-002, 1.4083880999943510E-002, 5.9826689999917804E-003, 1.9886184399999962E-001, 1.2761584999999975E-001
 5.3691783600000020E+000, 4.5464345819999981E+000, 3.8431553349999996E+000, 0.0000000000000000E+000, 8.0644587499999965E-001, 3.4160266000004214E-002, 1.3803114000014993E-002, 5.9713639999676715E-003, 2.2539444800000563E-001, 1.5946524199999956E-001
 5.3158231010000021E+000, 4.5173309370000032E+000, 3.8201135179999994E+000, 0.0000000000000000E+000, 7.8155155899999951E-001, 3.0279533999996389E-002, 1.4025804999912239E-002, 6.0833559999533549E-003, 2.0313868600000085E-001, 1.3773294399999880E-001
 5.3404219910000004E+000, 4.5494238659999988E+000, 3.8793479970000000E+000, 0.0000000000000000E+000, 8.0998849800000094E-001, 3.3711600999999369E-002, 1.4047755000194506E-002, 6.0333790000717258E-003, 2.0827438999999881E-001, 1.7323255100000079E-001
