parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 6.8038470620000018E+000, 5.9722561960000000E+000, 3.8719376709999995E+000, 0.0000000000000000E+000, 2.2356594689999989E+000, 8.9606366000001714E-002, 1.1190706520000653E+000, 2.5715825000001580E-001, 9.1036454600000916E-001
 6.7758660579999974E+000, 5.9407256620000028E+000, 4.3802934410000001E+000, 0.0000000000000000E+000, 2.2263720250000008E+000, 8.2627613999996186E-002, 1.1196762929999782E+000, 2.5908783500001320E-001, 9.5388582600000582E-001
 6.7497574330000019E+000, 5.9431484369999996E+000, 4.3938270550000027E+000, 0.0000000000000000E+000, 2.1975337499999998E+000, 1.0084140499999528E-001, 1.1221634780000862E+000, 2.5656515899998844E-001, 8.9646993299999345E-001
 6.8103432480000006E+000, 5.9480595090000001E+000, 3.8525109040000007E+000, 0.0000000000000000E+000, 2.1872632670000023E+000, 8.1406209000002505E-002, 1.1143118040001081E+000, 2.5628164200001535E-001, 8.8734538300000310E-001
 6.7858909229999984E+000, 5.8940774610000002E+000, 3.8188674239999987E+000, 0.0000000000000000E+000, 2.1669188769999996E+000, 7.6290979999997788E-002, 1.1224887930000982E+000, 2.5705617200002706E-001, 8.8390317100000360E-001
 6.7824151680000009E+000, 5.9673576519999978E+000, 3.8106105449999994E+000, 0.0000000000000000E+000, 2.2417574120000001E+000, 7.8183286999998103E-002, 1.1595524080000406E+000, 2.5889153099996598E-001, 9.3211332399999947E-001
 6.7835927320000033E+000, 5.9523437200000009E+000, 3.8323457270000008E+000, 0.0000000000000000E+000, 2.1994796830000007E+000, 9.5763389000001808E-002, 1.1266937559999022E+000, 2.6273129399993955E-001, 9.1592865300000881E-001
 6.7825739089999999E+000, 5.9211003650000000E+000, 3.8537070819999997E+000, 0.0000000000000000E+000, 2.1809543439999990E+000, 7.6831318999996512E-002, 1.1291829310001145E+000, 2.5896141400007089E-001, 9.2764541099999853E-001
 6.8072871350000002E+000, 5.9517227779999988E+000, 3.8573795569999989E+000, 0.0000000000000000E+000, 2.2501142840000012E+000, 8.1485009999997970E-002, 1.1148333009998641E+000, 2.5633901299999096E-001, 9.5369082799999738E-001
 6.7897260939999997E+000, 5.9597465769999989E+000, 3.8889616059999987E+000, 0.0000000000000000E+000, 2.2088471780000019E+000, 8.4296475000002147E-002, 1.1200962020001590E+000, 2.5743093999996525E-001, 9.6152834600001569E-001
