parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 2.7818167187000000E+001, 2.4312318417999993E+001, 1.9593827516999994E+001, 0.0000000000000000E+000, 5.0745752119999992E+000, 5.7167945499998751E-001, 1.6960338499983862E-001, 8.6533115199974020E-001, 1.0463185090000238E+000
 2.7855518309999997E+001, 2.4357699906000008E+001, 1.9576986799999997E+001, 0.0000000000000000E+000, 5.1163763590000002E+000, 6.4821972599999356E-001, 1.7920543099885577E-001, 8.7841977500003310E-001, 1.0788587820000402E+000
 2.8001306721999995E+001, 2.4494816830999991E+001, 1.9711428336999997E+001, 0.0000000000000000E+000, 5.2942171990000020E+000, 6.0890323699999271E-001, 1.7907958300084914E-001, 8.6799160500005001E-001, 1.2092503970000124E+000
 2.7880829251000002E+001, 2.4421586336000001E+001, 1.9567301181000005E+001, 0.0000000000000000E+000, 5.1648423010000002E+000, 6.3621427299998601E-001, 1.7462798299948901E-001, 8.8939744600010329E-001, 1.0640444869999897E+000
 2.7938398983999985E+001, 2.4459222485000012E+001, 1.9737271451999991E+001, 0.0000000000000000E+000, 5.2208799109999973E+000, 6.1968840500000510E-001, 1.7257433599955618E-001, 8.5468300599944058E-001, 1.1585930080000324E+000
 2.7872543480999994E+001, 2.4394295312999997E+001, 1.9564939542000008E+001, 0.0000000000000000E+000, 5.1003094439999970E+000, 6.4652405999999729E-001, 1.7588710100072547E-001, 8.7505135800068956E-001, 9.9108743900001883E-001
 3.2367959436000000E+001, 2.7982543233999998E+001, 2.1220658424000000E+001, 0.0000000000000000E+000, 8.5003772800000021E+000, 6.8714997100000375E-001, 1.7933011799924969E-001, 8.8573891400027804E-001, 4.3908093949999838E+000
 2.7698247333999994E+001, 2.4196956018000012E+001, 1.9503336609999995E+001, 0.0000000000000000E+000, 5.0081645710000018E+000, 5.9795575999999073E-001, 1.7685578699946092E-001, 7.6433824300001874E-001, 1.0325648519999717E+000
 2.8107225197000009E+001, 2.4585275986999996E+001, 1.9781850669999994E+001, 0.0000000000000000E+000, 5.3522483040000068E+000, 6.5112637699999709E-001, 1.7465008900015278E-001, 8.5605604899980392E-001, 1.2400327219999951E+000
 2.7908131380000007E+001, 2.4405964517000005E+001, 1.9658826074999997E+001, 0.0000000000000000E+000, 5.1266509450000015E+000, 6.1871077800000762E-001, 1.7781248900108437E-001, 7.7631653300084480E-001, 1.0704826430000125E+000
