parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 2.9811387050000002E+000, 2.8065600719999981E+000, 6.9581287100000022E-001, 0.0000000000000000E+000, 2.1597545449999984E+000, 4.9106823999998550E-002, 1.2437622700000084E+000, 1.4659232799998678E-001, 1.6493162959999950E+000
 3.2230848640000009E+000, 2.9840050980000008E+000, 7.7587493299999943E-001, 0.0000000000000000E+000, 2.3836428039999999E+000, 4.8721703999998756E-002, 1.5259363420000049E+000, 1.4663962799996844E-001, 1.8773339120000099E+000
 2.8577582539999997E+000, 2.6640472009999998E+000, 6.5438858900000030E-001, 0.0000000000000000E+000, 2.0343439189999990E+000, 4.6371404999999033E-002, 1.1951733789999306E+000, 1.4602280500000431E-001, 1.5266010330000079E+000
 2.8946450059999997E+000, 2.7047338269999992E+000, 6.4830882700000059E-001, 0.0000000000000000E+000, 2.0648698619999997E+000, 9.5687375999998991E-002, 1.1974484870000319E+000, 1.5876292500002132E-001, 1.5093461470000005E+000
 2.9264127829999973E+000, 2.7501109320000010E+000, 7.0499158000000106E-001, 0.0000000000000000E+000, 2.0971707519999989E+000, 4.5974677999997660E-002, 1.2052205040000992E+000, 1.4639817499997188E-001, 1.5872484569999958E+000
 2.9526558879999998E+000, 2.7773104210000006E+000, 7.0178104499999927E-001, 0.0000000000000000E+000, 2.1272423400000000E+000, 4.7044641000000720E-002, 1.1930336519999214E+000, 1.4633653800000435E-001, 1.6194021509999970E+000
 2.9721925309999997E+000, 2.7971440689999998E+000, 6.7858594800000027E-001, 0.0000000000000000E+000, 2.1654015610000004E+000, 4.8254785000001021E-002, 1.2574258280000783E+000, 1.4625465400002646E-001, 1.6534264969999932E+000
 3.0264498990000015E+000, 2.8278605080000006E+000, 6.8418990100000032E-001, 0.0000000000000000E+000, 2.1679128960000003E+000, 5.2246393000000335E-002, 1.2643325009999802E+000, 1.4656563299998471E-001, 1.6560054289999995E+000
 2.9115009209999991E+000, 2.7317089230000002E+000, 6.7799946600000016E-001, 0.0000000000000000E+000, 2.0881083409999999E+000, 4.6825117000000027E-002, 1.1984622549999910E+000, 1.4721107899997454E-001, 1.5829021400000034E+000
 2.8999520560000001E+000, 2.7282772200000029E+000, 6.7307661999999979E-001, 0.0000000000000000E+000, 2.0997093540000002E+000, 4.8193830999998077E-002, 1.2056278840000703E+000, 1.4544065500002246E-001, 1.5914818599999965E+000
